'BU_CODE';'V01_Strategievariant'
'BU00981302';
'BU00981401';
'BU00981402';
'BU00981501';
'BU00981502';
'BU01060000';
'BU01060001';
'BU01060002';
'BU01060003';
'BU01060004';
'BU01060005';
'BU01060006';
'BU01060007';
'BU01060008';
'BU01060009';
'BU01060010';
'BU01060011';
'BU01060012';
'BU01060100';
'BU01060101';
'BU01060102';
'BU01060103';
'BU01060104';
'BU01060105';
'BU01060200';
'BU01060201';
'BU01060202';
'BU01060203';
'BU01060204';
'BU01060205';
'BU01060300';
'BU01060301';
'BU01060302';
'BU01060303';
'BU01060304';
'BU01060305';
'BU01060306';
'BU01060307';
'BU01060308';
'BU01060309';
'BU01060310';
'BU01060400';
'BU01060401';
'BU01060402';
'BU01060403';
'BU01060500';
'BU01060501';
'BU01060502';
'BU01060503';
'BU01060504';
'BU01060505';
'BU01060506';
'BU01060507';
'BU01060508';
'BU01060509';
'BU01060600';
'BU01060601';
'BU01060602';
'BU01060603';
'BU01060604';
'BU01060700';
'BU01060701';
'BU01060702';
'BU01060703';
'BU01060704';
'BU01060705';
'BU01060706';
'BU01060707';
'BU01060708';
'BU01060709';
'BU01060710';
'BU01060711';
'BU01060712';
'BU01060713';
'BU01060714';
'BU01060715';
'BU01060716';
'BU01060717';
'BU01060800';
'BU01060801';
'BU01060802';
'BU01060803';
'BU01060804';
'BU01060805';
'BU01060806';
'BU01060807';
'BU01060808';
'BU01060809';
'BU01060810';
'BU01060811';
'BU01060812';
'BU01060813';
'BU01060814';
'BU01060815';
'BU01060816';
'BU01060817';
'BU01069900';
'BU01069901';
'BU01069902';
'BU01069903';
'BU01069904';
'BU01069905';
'BU01069906';
'BU01069907';
'BU01069908';
'BU01069909';
'BU01069910';
'BU01069911';
'BU01069912';
'BU01069913';
'BU01069914';
'BU01069915';
'BU01069916';
'BU01069917';
'BU01091000';
'BU01091001';
'BU01091002';
'BU01091003';
'BU01091004';
'BU01091006';
'BU01091007';
'BU01091008';
'BU01091009';
'BU01091010';
'BU01091011';
'BU01091012';
'BU01091013';
'BU01091014';
'BU01091015';
'BU01091116';
'BU01091117';
'BU01091218';
'BU01091219';
'BU01091320';
'BU01091421';
'BU01092022';
'BU01092023';
'BU01092024';
'BU01092025';
'BU01092026';
'BU01092027';
'BU01092028';
'BU01092029';
'BU01092030';
'BU01092031';
'BU01093032';
'BU01093033';
'BU01093034';
'BU01093035';
'BU01093036';
'BU01093037';
'BU01093038';
'BU01093039';
'BU01093068';
'BU01094040';
'BU01094041';
'BU01094042';
'BU01094043';
'BU01094044';
'BU01094045';
'BU01094046';
'BU01094047';
'BU01094048';
'BU01094049';
'BU01094050';
'BU01094051';
'BU01094052';
'BU01094053';
'BU01094054';
'BU01094055';
'BU01094056';
'BU01094057';
'BU01095058';
'BU01095059';
'BU01095060';
'BU01095061';
'BU01095062';
'BU01095063';
'BU01095064';
'BU01095065';
'BU01095066';
'BU01095067';
'BU01140100';
'BU01140101';
'BU01140102';
'BU01140103';
'BU01140104';
'BU01140106';
'BU01140109';
'BU01140200';
'BU01140206';
'BU01140208';
'BU01140209';
'BU01140300';
'BU01140301';
'BU01140302';
'BU01140303';
'BU01140304';
'BU01140309';
'BU01140400';
'BU01140401';
'BU01140402';
'BU01140408';
'BU01140409';
'BU01140500';
'BU01140502';
'BU01140503';
'BU01140504';
'BU01140509';
'BU01140600';
'BU01140601';
'BU01140608';
'BU01140609';
'BU01140700';
'BU01140701';
'BU01140702';
'BU01140707';
'BU01140708';
'BU01140709';
'BU01140800';
'BU01140801';
'BU01140802';
'BU01140803';
'BU01140804';
'BU01140806';
'BU01140807';
'BU01140809';
'BU01140900';
'BU01140901';
'BU01140909';
'BU01141000';
'BU01141001';
'BU01141002';
'BU01141003';
'BU01141004';
'BU01141009';
'BU01141300';
'BU01141308';
'BU01141309';
'BU01142100';
'BU01142101';
'BU01142102';
'BU01142109';
'BU01143200';
'BU01143201';
'BU01143209';
'BU01144000';
'BU01144100';
'BU01144101';
'BU01144200';
'BU01144300';
'BU01144400';
'BU01144500';
'BU01144600';
'BU01144700';
'BU01144800';
'BU01144900';
'BU01145000';
'BU01145100';
'BU01145101';
'BU01145109';
'BU01145200';
'BU01145201';
'BU01145300';
'BU01145301';
'BU01185000';
'BU01185001';
'BU01185002';
'BU01185003';
'BU01185004';
'BU01185005';
'BU01185006';
'BU01185007';
'BU01185008';
'BU01185100';
'BU01185101';
'BU01185102';
'BU01185103';
'BU01185104';
'BU01185105';
'BU01185106';
'BU01185107';
'BU01185108';
'BU01185109';
'BU01185200';
'BU01185201';
'BU01185300';
'BU01185301';
'BU01185302';
'BU01185400';
'BU01185401';
'BU01185402';
'BU01185500';
'BU01185501';
'BU01185600';
'BU01185601';
'BU01185700';
'BU01185701';
'BU01185800';
'BU01185801';
'BU01185900';
'BU01185901';
'BU01186000';
'BU01186001';
'BU01186002';
'BU01186003';
'BU01186100';
'BU01186201';
'BU01186202';
'BU01186203';
'BU01186204';
'BU01186205';
'BU01186206';
'BU01190000';
'BU01190001';
'BU01190002';
'BU01190100';
'BU01190101';
'BU01190200';
'BU01190201';
'BU01190202';
'BU01190300';
'BU01190301';
'BU01190302';
'BU01190303';
'BU01190400';
'BU01190401';
'BU01190500';
'BU01190501';
'BU01190600';
'BU01190601';
'BU01190602';
'BU01190603';
'BU01190700';
'BU01190701';
'BU01190800';
'BU01190900';
'BU01190901';
'BU01191000';
'BU01191001';
'BU01191002';
'BU01191003';
'BU01191004';
'BU01191100';
'BU01191101';
'BU01191102';
'BU01191200';
'BU01191201';
'BU01191202';
'BU01191203';
'BU01191204';
'BU01191205';
'BU01191206';
'BU01191207';
'BU01191208';
'BU01191209';
'BU01191300';
'BU01191301';
'BU01191302';
'BU01411000';
'BU01411001';
'BU01411002';
'BU01411003';
'BU01411100';
'BU01411101';
'BU01411102';
'BU01411103';
'BU01411104';
'BU01411105';
'BU01411106';
'BU01411109';
'BU01411200';
'BU01411201';
'BU01411202';
'BU01411209';
'BU01411300';
'BU01411301';
'BU01411302';
'BU01411303';
'BU01411309';
'BU01411400';
'BU01411401';
'BU01411402';
'BU01411403';
'BU01411404';
'BU01411405';
'BU01411406';
'BU01411409';
'BU01411500';
'BU01411501';
'BU01411502';
'BU01411503';
'BU01411600';
'BU01411601';
'BU01411602';
'BU01411603';
'BU01411604';
'BU01411605';
'BU01411700';
'BU01411701';
'BU01411702';
'BU01411703';
'BU01411709';
'BU01411800';
'BU01411801';
'BU01411802';
'BU01411803';
'BU01411804';
'BU01411805';
'BU01411806';
'BU01411900';
'BU01411901';
'BU01411902';
'BU01411903';
'BU01411904';
'BU01411905';
'BU01411906';
'BU01411907';
'BU01411908';
'BU01411909';
'BU01411910';
'BU01412000';
'BU01412001';
'BU01412002';
'BU01412009';
'BU01412100';
'BU01412109';
'BU01470000';
'BU01470001';
'BU01470002';
'BU01470003';
'BU01470004';
'BU01470005';
'BU01470006';
'BU01470007';
'BU01470008';
'BU01470009';
'BU01470100';
'BU01470101';
'BU01470102';
'BU01470105';
'BU01470106';
'BU01480101';
'BU01480102';
'BU01480103';
'BU01480104';
'BU01480105';
'BU01480106';
'BU01480107';
'BU01480108';
'BU01480109';
'BU01480110';
'BU01480111';
'BU01480112';
'BU01480113';
'BU01480114';
'BU01480115';
'BU01480116';
'BU01480117';
'BU01480118';
'BU01480119';
'BU01480201';
'BU01480202';
'BU01480203';
'BU01480204';
'BU01480205';
'BU01480206';
'BU01480207';
'BU01480208';
'BU01480209';
'BU01480210';
'BU01480211';
'BU01480301';
'BU01480302';
'BU01480303';
'BU01480304';
'BU01480305';
'BU01480306';
'BU01500101';
'BU01500102';
'BU01500103';
'BU01500104';
'BU01500105';
'BU01500106';
'BU01500107';
'BU01500201';
'BU01500301';
'BU01500302';
'BU01500303';
'BU01500304';
'BU01500305';
'BU01500306';
'BU01500401';
'BU01500402';
'BU01500403';
'BU01500404';
'BU01500405';
'BU01500406';
'BU01500407';
'BU01500501';
'BU01500502';
'BU01500601';
'BU01500602';
'BU01500603';
'BU01500604';
'BU01500605';
'BU01500606';
'BU01500701';
'BU01500702';
'BU01500703';
'BU01500704';
'BU01500705';
'BU01500706';
'BU01500801';
'BU01500802';
'BU01500803';
'BU01500901';
'BU01500902';
'BU01500903';
'BU01500904';
'BU01500905';
'BU01500906';
'BU01500907';
'BU01501001';
'BU01501002';
'BU01501003';
'BU01501004';
'BU01501005';
'BU01501006';
'BU01501007';
'BU01501008';
'BU01501009';
'BU01501010';
'BU01501101';
'BU01501102';
'BU01501103';
'BU01501201';
'BU01501202';
'BU01501301';
'BU01501401';
'BU01501402';
'BU01501403';
'BU01501501';
'BU01501502';
'BU01501503';
'BU01501504';
'BU01501505';
'BU01530000';
'BU01530001';
'BU01530002';
'BU01530003';
'BU01530004';
'BU01530005';
'BU01530006';
'BU01530007';
'BU01530008';
'BU01530100';
'BU01530101';
'BU01530102';
'BU01530103';
'BU01530104';
'BU01530105';
'BU01530106';
'BU01530200';
'BU01530201';
'BU01530202';
'BU01530203';
'BU01530204';
'BU01530205';
'BU01530206';
'BU01530207';
'BU01530208';
'BU01530300';
'BU01530301';
'BU01530400';
'BU01530401';
'BU01530402';
'BU01530403';
'BU01530404';
'BU01530405';
'BU01530406';
'BU01530500';
'BU01530501';
'BU01530502';
'BU01530503';
'BU01530600';
'BU01530601';
'BU01530602';
'BU01530603';
'BU01530604';
'BU01530605';
'BU01530606';
'BU01530607';
'BU01530608';
'BU01530609';
'BU01530700';
'BU01530701';
'BU01530702';
'BU01530703';
'BU01530800';
'BU01530801';
'BU01530802';
'BU01530803';
'BU01530804';
'BU01530805';
'BU01530806';
'BU01530807';
'BU01530808';
'BU01530900';
'BU01530901';
'BU01530902';
'BU01530903';
'BU01530904';
'BU01530905';
'BU01530906';
'BU01530907';
'BU01530908';
'BU01580001';
'BU01580002';
'BU01580003';
'BU01580004';
'BU01580010';
'BU01580011';
'BU01580020';
'BU01580030';
'BU01580040';
'BU01580041';
'BU01580050';
'BU01580051';
'BU01580052';
'BU01580053';
'BU01580060';
'BU01580090';
'BU01580091';
'BU01580160';
'BU01580170';
'BU01580180';
'BU01580190';
'BU01580200';
'BU01580290';
'BU01580300';
'BU01580390';
'BU01580490';
'BU01580590';
'BU01580690';
'BU01580900';
'BU01600101';
'BU01600102';
'BU01600201';
'BU01600301';
'BU01600401';
'BU01600402';
'BU01600403';
'BU01600404';
'BU01600405';
'BU01600406';
'BU01600407';
'BU01600501';
'BU01600502';
'BU01600503';
'BU01600601';
'BU01600701';
'BU01600801';
'BU01600802';
'BU01600803';
'BU01600804';
'BU01600805';
'BU01600901';
'BU01600902';
'BU01600903';
'BU01600904';
'BU01600905';
'BU01600906';
'BU01600907';
'BU01600908';
'BU01600909';
'BU01601001';
'BU01601101';
'BU01601201';
'BU01601202';
'BU01601301';
'BU01601401';
'BU01601501';
'BU01601601';
'BU01601701';
'BU01601702';
'BU01601801';
'BU01601901';
'BU01601902';
'BU01601903';
'BU01601904';
'BU01602001';
'BU01602002';
'BU01602101';
'BU01602201';
'BU01602301';
'BU01602401';
'BU01602402';
'BU01602501';
'BU01602502';
'BU01602601';
'BU01602602';
'BU01602603';
'BU01602604';
'BU01602701';
'BU01602801';
'BU01602802';
'BU01602803';
'BU01602804';
'BU01602805';
'BU01602806';
'BU01602807';
'BU01602808';
'BU01602809';
'BU01602901';
'BU01602902';
'BU01630101';
'BU01630102';
'BU01630103';
'BU01630104';
'BU01630105';
'BU01630106';
'BU01630201';
'BU01630202';
'BU01630203';
'BU01630301';
'BU01630302';
'BU01630303';
'BU01630304';
'BU01630401';
'BU01630402';
'BU01630403';
'BU01630404';
'BU01630405';
'BU01630406';
'BU01630407';
'BU01630408';
'BU01630501';
'BU01630503';
'BU01630504';
'BU01630505';
'BU01630506';
'BU01630507';
'BU01630508';
'BU01630509';
'BU01630510';
'BU01630601';
'BU01630602';
'BU01630603';
'BU01630604';
'BU01630605';
'BU01630606';
'BU01630700';
'BU01630800';
'BU01630900';
'BU01640000';
'BU01640001';
'BU01640002';
'BU01640100';
'BU01640101';
'BU01640102';
'BU01640103';
'BU01640200';
'BU01640201';
'BU01640202';
'BU01640203';
'BU01640204';
'BU01640300';
'BU01640301';
'BU01640302';
'BU01640303';
'BU01640304';
'BU01640305';
'BU01640306';
'BU01640307';
'BU01640308';
'BU01640309';
'BU01640400';
'BU01640401';
'BU01640402';
'BU01640403';
'BU01640500';
'BU01640501';
'BU01640502';
'BU01640503';
'BU01640504';
'BU01640505';
'BU01640506';
'BU01640600';
'BU01640601';
'BU01640602';
'BU01640603';
'BU01640604';
'BU01640605';
'BU01640606';
