utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;EnergieIndex;EnergieLabel;AC_WARM;R_COLL;;;;MVB_EG;RB_FAC_B;MVB_EG_EUR_MIN;MVB_EG_EUR_MAX;MVC_EG;RB_FAC_C;MVC_EG_EUR_MIN;MVC_EG_EUR_MAX;MVF_EG;RB_FAC_F;MVF_EG_EUR_MIN;MVF_EG_EUR_MAX;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Bijeenkomst;1920<=1975;utiliteit;0.033487398;0.72;1;nvt;0.806258686;0.01008;1;0.912926554;1;nvt;0.176084063;1.56;0.129;1;;E;0.134;0;;;;0.273425196;0;102.0116386;146.4419972;0.191397637;0;139.4113868;209.5334938;0.191397637;0;37.39974826;63.0914966;1.07;7.177544069;7.177544069
Bijeenkomst;1975<=1990;utiliteit;0.033487398;0.72;1;nvt;0.610197728;0.01008;1;1.00910678;1;nvt;0.176084063;1.56;0.129;1;;C;0.134;0;;;;0.366842441;0;93.78020769;141.1932495;0.256789709;0;131.1799559;204.2847461;0.256789709;0;37.39974826;63.0914966;1.07;7.177544069;7.177544069
Bijeenkomst;1990<=1995;utiliteit;0.033487398;0.72;1;nvt;0.619237267;0.01008;1;1.064439548;1;nvt;0.176084063;1.56;0.129;1;;B;0.134;0;;;;0.384339176;0;91.74656007;137.871625;0.269037423;0;129.1366243;200.9728057;0.269037423;0;37.39006422;63.10118064;1.07;7.177544069;7.177544069
Bijeenkomst;1995<=2015;utiliteit;0.033487398;0.72;1;nvt;0.435770119;0.01008;1;1.07;1;nvt;0.176084063;1.56;0.129;1;;B;0.134;0;;;;0.33090557;0;87.4081118;134.7921015;0.231633899;0;124.8078601;197.8932821;0.231633899;0;37.39974826;63.10118064;1.07;7.177544069;7.177544069
Bijeenkomst;onbekend;utiliteit;0.033487398;0.72;1;nvt;0.632280146;0.01008;1;0.960931919;1;nvt;0.176084063;1.56;0.129;1;;D;0.134;0;;;;0.263533269;0;96.43363364;142.2294414;0.184473288;0;133.8236979;205.320938;0.184473288;0;37.39006422;63.0914966;1.07;7.177544069;7.177544069
Sport;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.724791492;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;;G;0.11;0;;;;0.214911431;0;166.0037505;240.8613513;0.150438002;0;233.4724316;358.2996597;0.150438002;0;67.46868102;117.4383084;1.07;7.177544069;7.177544069
Sport;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.544171907;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;;E;0.11;0;;;;0.214911431;0;165.1225032;239.5346383;0.150438002;0;232.5911843;356.9826307;0.150438002;0;67.46868102;117.4479925;1.07;7.177544069;7.177544069
Sport;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.329260473;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;;C;0.11;0;;;;0.214911431;0;149.1341593;228.8047261;0.150438002;0;216.5931563;346.2527185;0.150438002;0;67.45899698;117.4479925;1.07;7.177544069;7.177544069
Sport;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.32547952;0.01008;1;1.0434;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.214911431;0;145.0281279;222.2195814;0.150438002;0;212.4871249;339.6675738;0.150438002;0;67.45899698;117.4479925;1.07;7.177544069;7.177544069
Sport;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.276025048;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.214911431;0;136.5933322;216.1380066;0.150438002;0;204.0523292;333.585999;0.150438002;0;67.45899698;117.4479925;1.07;7.177544069;7.177544069
Sport;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.389907353;0.01008;1;0.977057937;1;nvt;0.086802003;1.56;0.454;1;;D;0.11;0;;;;0.222799623;0;149.2309996;227.187492;0.155959736;0;216.6899966;344.6354844;0.155959736;0;67.45899698;117.4479925;1.07;7.177544069;7.177544069
Overig;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.227744373;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;;G;0.11;0;;;;0.048814225;0;104.6166443;167.0399424;0.034169957;0;151.6229566;259.4934371;0.034169957;0;47.00631228;92.45349472;1.07;7.177544069;7.177544069
Overig;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.165521952;0.01008;1;0.854;1;nvt;0.086802003;1.56;0.454;1;;E;0.11;0;;;;0.048814225;0;104.1227585;166.1877472;0.034169957;0;151.1290708;258.6315579;0.034169957;0;47.00631228;92.44381068;1.07;7.177544069;7.177544069
Overig;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.089303509;0.01008;1;0.9747;1;nvt;0.086802003;1.56;0.454;1;;C;0.11;0;;;;0.048814225;0;90.96215312;158.6826191;0.034169957;0;137.9684654;251.1264298;0.034169957;0;47.00631228;92.44381068;1.07;7.177544069;7.177544069
Overig;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.086385542;0.01008;1;1.0434;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.048814225;0;88.80261303;154.4216431;0.034169957;0;135.8089253;246.8654538;0.034169957;0;47.00631228;92.44381068;1.07;7.177544069;7.177544069
Overig;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.068874321;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.048814225;0;81.96568339;150.2090873;0.034169957;0;128.9719957;242.652898;0.034169957;0;47.00631228;92.44381068;1.07;7.177544069;7.177544069
Overig;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.112344219;0.01008;1;0.985320833;1;nvt;0.086802003;1.56;0.454;1;;D;0.11;0;;;;0.051621296;0;90.68131607;156.7361278;0.036134907;0;137.6876284;249.1896225;0.036134907;0;47.00631228;92.45349472;1.07;7.177544069;7.177544069
Cel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;1.174642006;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;;G;0.11;0;;;;0.278391906;0;69.28927985;98.40917705;0.194874334;0;92.97643268;135.4215639;0.194874334;0;23.68715283;37.0123868;1.07;7.177544069;7.177544069
Cel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.797229598;0.01008;1;0.83;1;nvt;0.086802003;1.56;0.454;1;;E;0.11;0;;;;0.278391906;0;68.99875876;97.98307945;0.194874334;0;92.67622755;135.0051503;0.194874334;0;23.67746879;37.02207084;1.07;7.177544069;7.177544069
Cel;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.472312353;0.01008;1;0.9579;1;nvt;0.086802003;1.56;0.454;1;;C;0.11;0;;;;0.278391906;0;64.39884151;94.7679794;0.194874334;0;88.08599434;131.7803662;0.194874334;0;23.68715283;37.0123868;1.07;7.177544069;7.177544069
Cel;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.469721176;0.01008;1;1.0469;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.278391906;0;63.00434028;92.66654352;0.194874334;0;86.69149311;129.6886144;0.194874334;0;23.68715283;37.02207084;1.07;7.177544069;7.177544069
Cel;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.380637332;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;;B;0.11;0;;;;0.278391906;0;60.56396313;90.78784047;0.194874334;0;84.25111596;127.8002273;0.194874334;0;23.68715283;37.0123868;1.07;7.177544069;7.177544069
Cel;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.636626893;0.01008;1;0.971055544;1;nvt;0.086802003;1.56;0.454;1;;D;0.11;0;;;;0.295673148;0;64.25358096;94.05136071;0.206971204;0;87.94073379;131.0637475;0.206971204;0;23.68715283;37.0123868;1.07;7.177544069;7.177544069
